PeakLeft,ActivationLeft,DeactivationLeft,PeakRight,ActivationRight,DeactivationRight,MeanLeft,MeanRight,Label
0.21,0.07,0.99,0.14,0,0.8,1,0.5,1
0.19,0,0.99,0.23,0.07,0.91,0,1,0
0.2,0.03,0.99,0.11,0,0.67,0.43,1,1
0.15,0,0.95,0.22,0.05,0.99,3,1,0
0.24,0.04,0.99,0.14,0,0.8,0.6,1,1
0.21,0,0.99,0.26,0.04,0.92,0,1,0
0.21,0.08,0.99,0.09,0,0.81,1,0.5,1
0.19,0,0.99,0.21,0.03,0.85,0.13,1,0
0.2,0.03,0.99,0.1,0,0.78,0.67,1,1
0.18,0,0.99,0.2,0.08,0.79,0.17,1,0
0.17,0,0.99,0.11,0.01,0.73,0.3,1,1
0.2,0,0.99,0.19,0.01,0.86,0.14,1,0
0.17,0.03,0.99,0.08,0,0.8,0.67,1,1
0.2,0,0.99,0.23,0.05,0.89,0,1,0
0.18,0.03,0.99,0.11,0,0.88,nan,nan,1
0.21,0,0.99,0.24,0.04,0.94,0,1,0
0.19,0.01,0.99,0.09,0,0.66,0.36,1,1
0.19,0,0.99,0.24,0.08,0.91,0,1,0
0.23,0.05,0.99,0.15,0,0.84,1,1,1
0.18,0,0.99,0.2,0.07,0.96,0,1,0
0.17,0,0.99,0.14,0.01,0.77,0.33,1,1
0.17,0,0.99,0.24,0.06,0.98,-0.5,1,0
0.22,0.05,0.99,0.16,0,0.82,1,1,1
0.16,0,0.99,0.26,0.03,0.96,-0.25,1,0
0.22,0.04,0.99,0.18,0,0.93,nan,inf,1
0.15,0,0.99,0.19,0.05,0.98,inf,nan,0
0.19,0.03,0.99,0.18,0,0.74,0.33,1,1
0.16,0,0.99,0.21,0.02,0.95,inf,nan,0
0.2,0.04,0.99,0.09,0,0.71,0.6,1,1
0.16,0,0.99,0.21,0.07,0.98,-0.33,1,0
0.21,0.03,0.99,0.08,0,0.67,0.44,1,1
0.17,0,0.99,0.24,0.07,0.93,0,1,0
0.21,0,0.99,0.1,0.01,0.72,0.33,1,1
0.19,0,0.98,0.23,0.04,0.99,inf,nan,0
0.21,0.03,0.99,0.09,0,0.66,0.5,1,1
0.16,0,0.99,0.21,0.06,0.86,0,1,0
0.21,0.04,0.99,0.1,0,0.69,0.5,1,1
0.16,0,0.93,0.22,0.01,0.99,1,1,0
0.2,0.07,0.98,0.15,0,0.99,1,3.5,1
0.2,0,0.99,0.22,0.03,0.96,-0.5,1,0
0.23,0.04,0.99,0.17,0,0.87,nan,nan,1
0.17,0,0.99,0.2,0.04,0.93,0,1,0
0.18,0.04,0.99,0.09,0,0.66,0.43,1,1
0.2,0,0.99,0.21,0.06,0.94,0,1,0
0.21,0.04,0.99,0.12,0,0.72,0.43,1,1
0.16,0,0.99,0.23,0.08,0.86,0.09,1,0
0.18,0.04,0.99,0.07,0,0.64,0.44,1,1
0.17,0,0.99,0.22,0.07,0.91,0,1,0
0.21,0.03,0.99,0.12,0,0.73,0.37,1,1
0.17,0,0.99,0.21,0.05,0.89,0,1,0
0.19,0,0.99,0.08,0.01,0.63,0.27,1,1
0.16,0,0.96,0.23,0.04,0.99,3,1,0
0.21,0.05,0.99,0.18,0,0.75,0.33,1,1
0.18,0,0.99,0.22,0.12,0.88,0,1,0
0.21,0.05,0.99,0.1,0,0.76,0.5,1,1
0.14,0,0.99,0.18,0.05,0.92,0,1,0
0.21,0.03,0.99,0.15,0,0.86,1,0,1
0.16,0,0.99,0.22,0.06,0.93,0,1,0
0.18,0.02,0.99,0.11,0,0.81,0.5,1,1
0.16,0,0.93,0.23,0.01,0.99,1.5,1,0
0.21,0.06,0.99,0.14,0,0.89,nan,inf,1
0.18,0,0.99,0.27,0.06,0.99,-0.25,1,0
0.23,0.04,0.99,0.13,0,0.75,0.5,1,1
0.19,0,0.99,0.22,0.03,0.93,0,1,0
0.16,0.01,0.99,0.12,0,0.69,0.27,1,1
0.18,0,0.99,0.22,0.04,0.95,-0.5,1,0
0.23,0.05,0.99,0.16,0,0.87,1,1,1
0.18,0,0.98,0.21,0.04,0.99,inf,nan,0
0.19,0,0.99,0.07,0.01,0.56,0.33,1,1
0.2,0,0.99,0.2,0.07,0.93,0,1,0
0.22,0.04,0.99,0.1,0,0.71,0.75,1,1
0.14,0,0.96,0.26,0.09,0.99,-0.67,1,0
0.21,0.04,0.99,0.21,0,0.94,nan,inf,1
0.19,0,0.99,0.23,0.09,0.94,0,1,0
0.2,0.05,0.99,0.14,0,0.91,nan,inf,1
0.15,0,0.96,0.22,0.04,0.99,3,1,0
0.23,0.05,0.99,0.14,0,0.86,1,1,1
0.19,0,0.99,0.17,0.04,0.84,0.13,1,0
0.2,0,0.99,0.13,0.01,0.78,0.4,1,1
0.17,0,0.99,0.2,0.04,0.95,-1,1,0
0.24,0.05,0.99,0.16,0,0.82,0.75,1,1
0.17,0,0.99,0.24,0.04,0.96,0,1,0
0.25,0.06,0.99,0.19,0,0.89,nan,inf,1
0.18,0,0.99,0.23,0.08,0.91,0,1,0
0.21,0.01,0.99,0.06,0,0.53,0.37,1,1
0.2,0,0.99,0.23,0.03,0.93,0,1,0
0.18,0.04,0.99,0.09,0,0.69,0.5,1,1
0.18,0,0.99,0.21,0.04,0.93,0,1,0
0.21,0.01,0.99,0.16,0,0.87,0.25,1,1
0.17,0,0.99,0.21,0.03,0.94,0,1,0
0.25,0.04,0.99,0.16,0,0.82,0.67,1,1
0.2,0,0.99,0.21,0.05,0.86,0.1,1,0
0.21,0.04,0.99,0.22,0,0.92,nan,nan,1
0.16,0,0.99,0.23,0.04,0.96,-0.33,1,0
0.19,0.04,0.99,0.2,0,0.82,0.17,1,1
0.19,0,0.99,0.28,0.12,0.96,0,1,0
0.21,0,0.99,0.17,0.01,0.82,0.5,1,1
0.18,0,0.9,0.27,0.08,0.99,inf,nan,0
0.26,0.05,0.99,0.2,0,0.94,nan,inf,1
0.19,0,0.99,0.24,0.09,0.91,0,1,0
0.29,0.12,0.99,0.19,0,0.73,0.83,1,1
0.18,0,0.99,0.23,0.05,0.98,-0.25,1,0
0.24,0.05,0.99,0.1,0,0.57,0.47,1,1
0.16,0,0.95,0.25,0.07,0.99,-1,1,0
0.24,0.05,0.99,0.13,0,0.79,1,1,1
0.18,0,0.96,0.23,0.04,0.99,inf,nan,0
0.27,0.04,0.99,0.12,0,0.75,1,1,1
0.18,0,0.99,0.22,0.04,0.89,0,1,0
0.25,0.01,0.99,0.17,0,0.77,0.44,1,1
0.18,0,0.99,0.23,0.1,0.84,0.08,1,0
0.25,0.04,0.99,0.09,0,0.67,0.55,1,1
0.18,0,0.99,0.25,0.07,0.94,0,1,0
0.23,0.03,0.99,0.19,0,0.92,nan,inf,1
0.2,0,0.99,0.23,0.06,0.94,0,1,0
0.22,0.03,0.99,0.14,0,0.84,1,1,1
0.2,0,0.99,0.22,0.03,0.84,0.13,1,0
0.18,0,0.99,0.16,0.03,0.73,0.3,1,1
0.19,0,0.99,0.24,0.07,0.91,0,1,0
0.24,0.05,0.99,0.13,0,0.79,1,1,1
0.18,0,0.99,0.23,0.03,0.94,0,1,0
0.22,0.04,0.99,0.21,0,0.85,0.67,1,1
0.16,0,0.99,0.23,0.08,0.98,-0.2,1,0
0.23,0.07,0.99,0.13,0,0.71,0.57,1,1
0.16,0,0.99,0.19,0.04,0.9,0,1,0
0.23,0.05,0.99,0.19,0,0.98,1,4,1
0.2,0,0.99,0.22,0.08,0.9,0,1,0
0.22,0.04,0.99,0.15,0,0.81,0.4,1,1
0.21,0,0.99,0.26,0.13,0.89,0,1,0
0.23,0.06,0.99,0.12,0,0.73,0.75,1,1
0.14,0,0.91,0.2,0.01,0.99,1,1,0
0.23,0.01,0.99,0.18,0,0.9,nan,nan,1
0.17,0,0.99,0.23,0.04,0.99,inf,nan,0
0.22,0.05,0.99,0.16,0,0.85,1,1,1
0.18,0,0.98,0.28,0.03,0.99,-0.5,1,0
0.21,0.03,0.99,0.2,0,0.92,nan,nan,1
0.17,0,0.99,0.24,0.08,0.96,-0.2,1,0
0.2,0.02,0.99,0.11,0,0.75,0.5,1,1
0.17,0,0.99,0.25,0.03,0.94,0,1,0
0.24,0.04,0.99,0.16,0,0.77,0.5,1,1
0.2,0,0.99,0.25,0.12,0.91,0,1,0
0.23,0.06,0.99,0.19,0,0.99,1,5,1
0.2,0,0.99,0.21,0.03,0.91,0,1,0
0.21,0,0.99,0.12,0.01,0.71,0.29,1,1
0.18,0,0.94,0.28,0.06,0.99,-1,1,0
0.22,0.03,0.99,0.13,0,0.75,0.43,1,1
0.2,0,0.99,0.25,0.09,0.87,0.14,1,0
0.22,0.05,0.96,0.21,0,0.99,1,3.5,1
0.22,0,0.99,0.23,0.12,0.86,0.08,1,0
0.26,0.11,0.98,0.2,0,0.99,1,3.33,1
0.19,0,0.99,0.22,0.04,0.93,0,1,0
0.26,0.06,0.99,0.13,0,0.77,0.71,1,1
0.21,0,0.99,0.26,0.07,0.94,0,1,0
0.22,0.05,0.99,0.16,0,0.84,1,0,1
0.21,0,0.99,0.25,0.05,0.94,0,1,0
0.22,0.06,0.99,0.16,0,0.83,1,1,1
0.18,0,0.99,0.24,0.11,0.89,0,1,0
0.21,0.03,0.99,0.16,0,0.9,nan,nan,1
0.2,0,0.99,0.24,0.08,0.92,0,1,0
0.21,0.03,0.99,0.17,0,0.93,nan,inf,1
0.18,0,0.98,0.25,0.04,0.99,inf,nan,0
0.2,0.04,0.99,0.13,0,0.78,0.75,1,1
0.22,0,0.99,0.21,0.05,0.93,0,1,0
